source,kanji,reading
JMDict,赤鰭,アカヒレ
JMDict,琴鳥,コトドリ
JMDict,職神,しきがみ
JMDict,赤波馬駄,あかなまだ
JMDict,赤波馬駄,アカナマダ
JMDict,小糠草,コヌカグサ
JMDict,脂鰉,アブラヒガイ
JMDict,天狗蝙蝠,テングコウモリ
JMDict,涅槃原則,ねはんげんそく
JMDict,油底鯥,アブラソコムツ
JMDict,脂底鯥,アブラソコムツ
JMDict,留処,とめど
JMDict,止処,とめど
JMDict,瘤白鳥,コブハクチョウ
JMDict,斬味,きれあじ
JMDict,阿代,アシロ
JMDict,味女泥鰌,アジメドジョウ
JMDict,綺麗,キレイ
JMDict,奇麗,キレイ
JMDict,暉麗,キレイ
JMDict,胭脂魚,イェンツーユイ
JMDict,しわがれ声,しゃがれごえ
JMDict,鮎掛け,アユカケ
JMDict,しゃがれ声,しわがれごえ
JMDict,しわがれ声,かれごえ
JMDict,しゃがれ声,かれごえ
JMDict,鮎擬,アユモドキ
JMDict,網目鰻,アミメウナギ
JMDict,阿部沙魚,アベハゼ
JMDict,脂坊主,アブラボウズ
JMDict,油坊主,アブラボウズ
JMDict,カイダ文字,カイダーもじ
JMDict,揚降,あげおろし
JMDict,カイダー文字,カイダもじ
JMDict,法螺,ホラ
JMDict,刺青蒟蒻鯵,イレズミコンニャクアジ
JMDict,糸撚鯛,イトヨリダイ
JMDict,糸巻河豚,イトマキフグ
JMDict,糸引笛鯛,イトヒキフエダイ
JMDict,犬槙,イヌマキ
JMDict,犬槇,イヌマキ
JMDict,円提灯,まるちょうちん
JMDict,糸引鯊,イトヒキハゼ
JMDict,丸提灯,まるちょうちん
JMDict,犬黄楊,イヌツゲ
JMDict,糸引鰯,イトヒキイワシ
JMDict,磯鮪,イソマグロ
JMDict,伊勢鯉,いせごい
JMDict,伊勢鯉,イセゴイ
JMDict,ＬＧＢＴ,エル・ジー・ビー・ティー
JMDict,伊須墨,イスズミ
JMDict,伊寿墨,イスズミ
JMDict,石笛鯛,イシフエダイ
JMDict,愛媛女子短大,えひめじょしたんだい
JMDict,ＰＣ,ピー・シー
JMDict,鼈茸,スッポンタケ
JMDict,石投,イシナギ
JMDict,石投,いしなぎ
JMDict,ＰＣＩ,ピー・シー・アイ
JMDict,愛媛大学,えひめだいがく
JMDict,愛媛大,えひめだい
JMDict,ウェーイ系,うぇーいけい
JMDict,ウェイ系,うぇーいけい
JMDict,うぇい系,うぇーいけい
